
================================  œÓÚÓÍÓÎ ‡·ÓÚ˚  ================================
===========================  ƒ‡Ú‡: 06.12.2023 03:11:20  ===========================


================  œ‡‡ÏÂÚ˚  ================
-in: example.txt
-out: example.txt.asm
-log: example.txt.log
=============  »ÒıÓ‰Ì˚Â ‰‡ÌÌ˚Â  =============
 ÓÎË˜ÂÒÚ‚Ó ÒËÏ‚ÓÎÓ‚: 740
œÓË„ÌÓËÓ‚‡ÌÓ:   0
 ÓÎË˜ÂÒÚ‚Ó ÒÚÓÍ:  48

===============================  “¿¡À»÷¿ À≈ —≈Ã  ==================================

|  N | À≈ —≈Ã¿ | —“–Œ ¿ | »Õƒ≈ — ¬ “» |
|  0 |    t    |    1   |             |
|  1 |    f    |    1   |             |
|  2 |    i    |    1   |       0     |
|  3 |    (    |    1   |             |
|  4 |    t    |    1   |             |
|  5 |    i    |    1   |       1     |
|  6 |    ,    |    1   |             |
|  7 |    t    |    1   |             |
|  8 |    i    |    1   |       2     |
|  9 |    )    |    1   |             |
| 10 |    {    |    2   |             |
| 11 |    n    |    3   |             |
| 12 |    t    |    3   |             |
| 13 |    i    |    3   |       3     |
| 14 |    ;    |    3   |             |
| 15 |    ?    |    4   |             |
| 16 |    i    |    4   |       1     |
| 17 |    <    |    4   |             |
| 18 |    i    |    4   |       2     |
| 19 |    #    |    4   |             |
| 20 |    w    |    5   |             |
| 21 |    {    |    5   |             |
| 22 |    i    |    5   |       3     |
| 23 |    =    |    5   |             |
| 24 |    i    |    5   |       1     |
| 25 |    ;    |    5   |             |
| 26 |    }    |    5   |             |
| 27 |    r    |    6   |             |
| 28 |    {    |    6   |             |
| 29 |    i    |    6   |       3     |
| 30 |    =    |    6   |             |
| 31 |    i    |    6   |       2     |
| 32 |    ;    |    6   |             |
| 33 |    }    |    6   |             |
| 34 |    #    |    6   |             |
| 35 |    e    |    7   |             |
| 36 |    i    |    7   |       3     |
| 37 |    ;    |    7   |             |
| 38 |    }    |    8   |             |
| 39 |    p    |   10   |             |
| 40 |    f    |   10   |             |
| 41 |    i    |   10   |       4     |
| 42 |    (    |   10   |             |
| 43 |    t    |   10   |             |
| 44 |    i    |   10   |       5     |
| 45 |    ,    |   10   |             |
| 46 |    t    |   10   |             |
| 47 |    i    |   10   |       6     |
| 48 |    )    |   10   |             |
| 49 |    {    |   11   |             |
| 50 |    n    |   12   |             |
| 51 |    t    |   12   |             |
| 52 |    i    |   12   |       7     |
| 53 |    ;    |   12   |             |
| 54 |    i    |   13   |       7     |
| 55 |    =    |   13   |             |
| 56 |    i    |   13   |       8     |
| 57 |    (    |   13   |             |
| 58 |    i    |   13   |       5     |
| 59 |    )    |   13   |             |
| 60 |    +    |   13   |             |
| 61 |    l    |   13   |       9     |
| 62 |    ;    |   13   |             |
| 63 |    o    |   14   |             |
| 64 |    l    |   14   |      10     |
| 65 |    ;    |   14   |             |
| 66 |    o    |   15   |             |
| 67 |    i    |   15   |       7     |
| 68 |    ;    |   15   |             |
| 69 |    ^    |   16   |             |
| 70 |    ;    |   16   |             |
| 71 |    n    |   18   |             |
| 72 |    t    |   18   |             |
| 73 |    i    |   18   |      11     |
| 74 |    ;    |   18   |             |
| 75 |    i    |   19   |      11     |
| 76 |    =    |   19   |             |
| 77 |    i    |   19   |      12     |
| 78 |    (    |   19   |             |
| 79 |    i    |   19   |       6     |
| 80 |    )    |   19   |             |
| 81 |    ;    |   19   |             |
| 82 |    o    |   20   |             |
| 83 |    l    |   20   |      13     |
| 84 |    ;    |   20   |             |
| 85 |    o    |   21   |             |
| 86 |    i    |   21   |      11     |
| 87 |    ;    |   21   |             |
| 88 |    ^    |   22   |             |
| 89 |    ;    |   22   |             |
| 90 |    e    |   23   |             |
| 91 |    ;    |   23   |             |
| 92 |    }    |   24   |             |
| 93 |    m    |   27   |             |
| 94 |    {    |   28   |             |
| 95 |    n    |   29   |             |
| 96 |    t    |   29   |             |
| 97 |    i    |   29   |      14     |
| 98 |    =    |   29   |             |
| 99 |    l    |   29   |      15     |
|100 |    ;    |   29   |             |
|101 |    ^    |   30   |             |
|102 |    ;    |   30   |             |
|103 |    o    |   31   |             |
|104 |    i    |   31   |      14     |
|105 |    ;    |   31   |             |
|106 |    o    |   32   |             |
|107 |    i    |   32   |      14     |
|108 |    ;    |   32   |             |
|109 |    ^    |   33   |             |
|110 |    ;    |   33   |             |
|111 |    n    |   34   |             |
|112 |    t    |   34   |             |
|113 |    i    |   34   |      16     |
|114 |    =    |   34   |             |
|115 |    l    |   34   |      17     |
|116 |    ;    |   34   |             |
|117 |    n    |   35   |             |
|118 |    t    |   35   |             |
|119 |    i    |   35   |      18     |
|120 |    =    |   35   |             |
|121 |    l    |   35   |      19     |
|122 |    ;    |   35   |             |
|123 |    i    |   36   |       4     |
|124 |    (    |   36   |             |
|125 |    i    |   36   |      14     |
|126 |    ,    |   36   |             |
|127 |    i    |   36   |      16     |
|128 |    )    |   36   |             |
|129 |    ;    |   36   |             |
|130 |    o    |   39   |             |
|131 |    l    |   39   |      20     |
|132 |    ;    |   39   |             |
|133 |    n    |   40   |             |
|134 |    t    |   40   |             |
|135 |    i    |   40   |      21     |
|136 |    =    |   40   |             |
